ID,c1,c2,c3,t1,t2,t3
ENSSSCG00000000515,0,0,0.004124483,0.263293764,0.222612427,0.308436123
ENSSSCG00000000653,0,0,0,1.878739526,1.919596161,1.872842113
ENSSSCG00000000978,0,0.02084,0,0.383443923,0.565908221,0.662549823
ENSSSCG00000001132,0,0.044136989,0,2.0031677,1.725891457,1.85224085
ENSSSCG00000001404,0,0.117313516,0.531988036,135.4099449,144.8827885,113.0831967
ENSSSCG00000001455,0,0,0.011643576,0.214167892,0.334674089,0.143669989
ENSSSCG00000003781,0,0,0,0.153229581,0.104026644,0.042362275
ENSSSCG00000004646,0,0,0.003719338,0.0583516,0.067707029,0.073011412
ENSSSCG00000006281,0,0.012413253,0.014072764,0.106585105,0.107865822,0.094714759
ENSSSCG00000006287,0,0,0.023497893,1.779696815,1.080648896,1.792358291
ENSSSCG00000006418,0,0.015794192,0.017905697,0.794317536,0.772001601,0.622644162
ENSSSCG00000007578,0,0,0,0.368452131,0.402399039,0.241925335
ENSSSCG00000009469,0,0,0,2.345278309,2.973566486,2.652472446
ENSSSCG00000009477,0,0,0.017819348,0.269922384,0.341457184,0.359791835
ENSSSCG00000009869,0,0,0,7.278460833,6.348258422,5.219677479
ENSSSCG00000010868,0,0,0,7.406546997,10.9310008,6.947331504
ENSSSCG00000011875,0,0,0.039958946,7.025649001,6.833869755,6.723451491
ENSSSCG00000014672,0,0.066022608,0,18.34314364,18.32280073,16.45620031
ENSSSCG00000015596,0,0.260820705,0,5.758739795,5.666049179,6.965337723
ENSSSCG00000016018,0,0,0,0.528053852,0.581647583,0.373869746
ENSSSCG00000016237,0,0.001688016,0,0.037270224,0.071507156,0.042932624
ENSSSCG00000017061,0,0.07312883,0,0.919444202,1.131909672,0.836973978
ENSSSCG00000017062,0,0,0,0.391347278,0.269533804,0.420750381
ENSSSCG00000017700,0,0.500899087,0,567.1067632,654.5218457,380.6001617
ENSSSCG00000021105,0,0,0,2.398803733,1.504623322,1.968815449
ENSSSCG00000021504,0,0,0,189.8873511,188.1438587,201.1194373
ENSSSCG00000022490,0,0.032070914,0,0.590086241,0.452858971,0.570979083
ENSSSCG00000022630,0,0.143573242,0.271278939,2.172035211,3.58682032,2.190965663
