ID,DEG,c1,c2,c3,t1,t2,t3
DUSP9,DN,140.7767705,166.4044722,160.577825,21.86961325,23.66936856,19.17408238
FAM110C,DN,160.0810728,157.2101291,181.8659914,38.72514778,38.85542706,38.66352754
FOSL2,DN,320.4651219,335.8436522,302.8541653,65.35168236,77.80816746,64.51747196
INSIG1,DN,178.3295761,204.3904354,179.8203898,35.18900885,33.83878988,35.42169089
KRT18,DN,756.9824585,763.5735974,781.2398599,125.2597096,149.0476974,110.8103617
KRT8,DN,1212.735646,1210.237035,1246.537077,316.9043288,333.9138787,293.8640873
LGALS3,DN,149.4263374,146.9695184,162.7554846,34.1814464,33.36145296,32.0186358
NES,DN,263.9699791,333.9456921,267.2226833,52.1904142,58.71503092,52.76196809
PLET1,DN,199.7981857,200.0709145,172.2629274,21.43341417,26.5714213,18.75433788
RPL17,DN,317.4279718,335.9958856,237.3391854,16.9083886,12.16524847,15.33833458
CASP4,UP,23.09958483,23.79636002,24.07995634,401.2820879,381.9935233,400.0637083
CCL2,UP,8.82138072,4.880487962,3.043124755,2488.905396,2680.800394,1989.481229
CCL5,UP,13.05548097,12.71185539,11.19762016,1050.03646,1008.433639,1017.583068
CHAC1,UP,34.78788646,35.42864723,24.69291464,585.4962453,751.8305123,517.9481186
CXCL10,UP,6.475525305,1.552472022,1.760020003,3102.219783,2749.681923,3166.605215
CXCL11,UP,2.947834113,0.353363609,0.400604334,1193.324196,1012.77887,1206.804113
CXCL8,UP,165.3821683,229.6385644,180.348161,2822.497941,2831.098626,3183.574226
DDX58,UP,1.712656984,1.153371377,1.344175903,352.0200017,334.3840457,349.7797531
DHX58,UP,3.039660324,2.354397404,3.002797974,239.3920727,236.6907202,209.1565204
FCRLB,UP,12.19055754,11.33406277,11.63710098,248.0185493,260.8541674,223.1357456
GABRP,UP,17.1343586,18.58672752,15.53740632,217.1666985,231.1611352,219.5456643
GBP2,UP,3.224190705,3.14249777,2.727242627,159.131653,149.8115944,153.2366279
HES4,UP,88.97163389,89.3969381,79.69267986,2333.955744,2608.906569,2007.100331
ICAM1,UP,55.16029704,60.19660808,44.26906889,1015.616063,1063.845496,908.0281545
IDO1,UP,17.74842898,14.78526686,16.8255026,729.777039,705.3164559,740.9944542
IFI44,UP,11.6915008,9.985594227,10.72473673,307.7081504,296.8465022,283.3082076
IFI6,UP,12.94570663,10.29580466,10.5557626,1104.22459,1072.134647,1049.152481
IFIT1,UP,30.94511269,25.8595275,25.00454452,2382.620147,2180.705467,2209.459084
IFIT2,UP,44.05628283,39.59989049,39.57347212,4025.577067,3762.691999,4262.805847
IFIT5,UP,119.9764251,127.339405,133.8774019,1190.218845,1163.649891,1312.265841
IFNB1,UP,3.471601066,1.664595001,0.943566279,2323.612659,1885.824066,2217.396903
IL29,UP,2.25402504,0.810585392,2.756854521,239.6231103,213.9505097,239.1484534
IL6,UP,37.11308459,41.62295402,42.77647012,563.27957,633.932564,578.7938016
IRF1,UP,52.88683834,52.81709103,44.83993724,738.2886106,756.2013793,648.3300318
ISG15,UP,251.309418,249.112049,248.2982066,7698.896363,7364.097047,7884.152873
MX1,UP,10.90587751,8.690656633,8.690409642,531.0967826,526.0849864,490.5586743
MX2,UP,2.251648718,1.564095443,1.522125154,852.147724,877.121004,789.7907018
NUPR1,UP,169.1730249,151.4495157,159.3630124,4452.212144,4605.486934,4419.164508
OAS2,UP,11.4564476,12.80975331,10.28196036,433.6285045,460.5181938,367.5357256
OASL,UP,0.677542959,0.406093111,0.398998752,375.9184799,356.4356163,362.3230986
RNF213,UP,9.547474021,13.96187773,8.408187276,222.6108715,266.2851447,174.2127214
RSAD2,UP,1.505913435,0.297853518,0.33767317,1773.834044,1751.488888,1832.247452
S100A14,UP,9.551166846,8.534859586,8.495889322,217.8083077,223.1711008,196.4252199
STAT2,UP,15.52532937,14.85453911,14.67769768,206.2341967,212.5723606,204.0093087
TAP1,UP,30.97855446,29.32216337,32.50095569,619.0339055,610.6058832,557.4751267
TNFAIP3,UP,15.46342852,17.91848618,13.97628886,295.2591069,368.7421955,274.2640072
TNFSF15,UP,54.47740173,62.17405106,50.80134435,826.5639865,753.5592377,825.1600988
TRIM5,UP,3.877732335,3.599750392,3.750104779,648.052273,645.1558075,665.0952004
UBE2L6,UP,12.85346202,11.71389634,13.86026808,291.8043435,285.2177432,271.6970943
ZNFX1,UP,60.54259622,64.40304607,59.575916,1129.89858,1138.065503,1109.728287
