Category	ID	Term	Genes	adj_pval
MF	GO:0000981	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"SIM1, ETV3, ELK4, REL, ETV6, DMTF1, EHF, MYB, FOXP4, FAM200B, ETV7, SPI1, ETS1, ETV1, EPAS1"	0.98268891
BP	GO:0002230	positive regulation of defense response to virus by host	"STAT2, FAM131B, PDK4, C6H1orf210, IL12RB1, ACKR3, DDX58, LOC100157336, FGFBP1, GMIP"	0.957539916
MF	GO:0004672	protein kinase activity	"CCL8, PXK, MMD2, PDK4, CCL5, CCL3L1, JAK3, GUCY2C, MAP2K6, LRRK2, PEAK1, ROR1, RIPK1, EPHA1"	0.96747379
MF	GO:0004860	protein kinase inhibitor activity	"SH3BP5, DNAJC3, LRRC4C, RTN4RL1, CAMK2N1, LRRC66, FLRT3, SOCS1, NYX, CISH"	0.256893321
MF	GO:0004871	signal transducer activity	"GNAZ, STAT2, GNA13, GNG11, SLC44A2, GJA1, SH2B3, STAT4, PLCB3, IRS1, TICAM2, PLCD1, STAT3, SHISA5"	0.851599612
MF	GO:0005509	calcium ion binding	"MGP, DCHS1, DGKA, DLL4, EHD1, PLCB3, FAT2, PRRG4, DSG4, SLC25A25, CDHR4, FBN1, JAG2, PRRG1, GAS6, PCDH10, PCDH1, KCNIP1, JAG1, S100A14, S100A16, THBS1, LOC100738826, ANXA13, SHH, HMCN2, LDLR, SLC24A5, PLCD1, KCNIP2, PROC, SULF1, MMP13, DSG1, DSC1, SVEP1, MMP1, FBLN5, MMP3, MMP12, SYTL1, MMP15, EFHC1"	0.943471648
CC	GO:0005578	proteinaceous extracellular matrix	"GPC1, OLFML2A, WNT9A, ADAMTS14, ADAMTS9, SHH, WNT5A, FBN1, COL6A3, TIMP1, TIMP3, ADAMTS4, TIMP4, MMP1, LOX, CTGF, CYR61"	0.617045797
CC	GO:0005615	extracellular space	"MOV10, SAA3, HGF, IL18BP, WNT9A, C10H9orf72, FLRT3, IFN-ALPHAOMEGA, CHI3L1, WNT5A, CFD, COL6A3, BMP7, TIMP3, TNF, IL7, METRNL, GAS6, CPM, CXCL9, VCAM1, CCL8, SERPING1, THBS1, ANXA13, CCL2, IL15, GREM1, FJX1, TIMP1, CNP, CXCL10, ICAM1, IGFBP6, LRRK2, PROC, IL12A, SRPX2, ADAMTS4, IL20, TIMP4, CXCL11, CCL4, TNFSF10, IL19, OLFM3, FBLN5, NRP1, C5, LRRC4C, PTHLH, TGFB3, INHBE, FBN1, INHBA, LOC100524022, VNN3, CD109, TNFSF15, ERAP1, SERPINB5, CTSS, IGFBP4, LOC100739844, IFNB1, LOX, SEMA3E, EREG, EDN1, CCL5, ADAMTS9, SHH, CCL23, CCL3L1, NAMPT, SULF1, SEMA3B, LGALS3, FRZB, CCL20, CPXM2, CXCL2, HYAL1, PLAU, CXCL8"	1.58E-04
CC	GO:0005654	nucleoplasm	"IFI44L, WT1, ELK4, E2F3, C10H9orf72, MAPK14, HMGCS1, IRF2, STAT3, OLR1, SMAD7, CDC14B, DNPEP, VWA5A, MBNL1, CRABP2, PARP10, ETS1, DNAJB4, HNMT, RHPN2, PARP9, ANXA13, PDHB, EHF, IL15, PHC3, ABTB2, NCOA3, STN1, CNP, FBXO32, ZHX2, HRH1, NMI, ZNF281, LOC100621849, SETX, ARID5A, CEBPG, FOSL2, DUSP4, PTHLH, TRPM4, ELMOD1, PLCB3, CREB1, NEDD1, HTATSF1, CEP152, ADAR, LOC106506672, MSC, NFAT5, HIVEP2, USP28, SLC44A1, PFKFB3, TNIP1, LOC100155338, RSG1, PM20D2, HOXB7, S100A14, UGDH, FAM131B, DMTF1, STAT4, SMAP2, ETV7, ACSS2, NAMPT, THNSL1, RUBCN, PEAK1, CYP24A1, LOC100521344, SGK1, KLF4, RAI14, KYNU, FAM200B, DUSP10, PHC1, AEN"	0.475742105
CC	GO:0005737	cytoplasm	"PPP1R1B, GFAP, LRRC66, NIM1K, NYX, HMGCS1, SNRK, SMAD7, UBE2A, CDC14B, DNPEP, NR5A2, CRABP2, STAT2, AQP3, PXK, RHPN2, PELO, DAXX, TRIM21, MFAP3L, PARP14, FAM64A, HRH1, LOC102166414, NMI, LIX1L, UBD, LRRC4C, FCRLB, SCEL, ADAR, GPRASP2, NFAT5, ANKRD17, CFLAR, SHAS2, TNIP1, MAGED1, FAM131B, PRICKLE2, RGS4, THNSL1, MFSD2A, ISG20, SLC2A2, APOBEC1, TRIM26, LOC100520618, ACAT2, WT1, CPEB2, FAM83B, CHI3L1, PKIA, INPP1, SOCS1, SDS, IPO13, RASAL1, KCNIP1, SESN2, RTN4RL1, CREBRF, ABTB2, TBCC, FBXO32, KCNIP2, DUSP1, IL12A, GDAP1, OAS1, LOC100621849, CLP1, IFRD1, SH3GL2, RCAN1, LOC100521659, WARS, IVL, TBPL1, NDRG1, BRCA1, ATG4A, NUB1, ANKRD1, IFT46, NFKBIA, DMTF1, CCL5, STAT4, LOC100153094, CCL3L1, TXNIP, EPAS1, MAP2, PEAK1, SAT1, KLF4, EPB41L2, FAM200B, IFIT1, BAMBI, E2F3, AATF, DOK1, STAT3, CDC42EP2, EDF1, ZMYND15, CASP1, AK1, NUAK2, PRDM1, FAS, DHX58, NCOA3, CNP, ZHX2, SRPX2, LOC102161161, MLC1, SETX, FAM98B, RGS14, TACC2, NFE2L1, MDM2, HTR1B, CCDC6, ACY1, HOPX, LOC100739376, ANKRD37, IRF9, CISH, FZD3, PSME2, ZNF395, GADD45B, HOXB7, TNFAIP3, ENPEP, ACSS2, SMAP2, MX1, HYAL1, LOC100518083, ASS1, CASP3, RASSF1, AIRE, RHEBL1, ELK4, FLRT3, GJB1, IRF2, PPP4R4, TXNRD1, CASP10, MYD88, GAS6, RASA3, OASL, SH3BP5, NCCRP1, HNMT, IL15, IRF1, BLNK, BBS2, ALDH1L2, SERTAD1, TRIM14, ARHGAP8, GLRX, HEBP1, GJA1, ELMOD1, IP6K1, GNA13, SERPINB5, RILPL2, ZCCHC2, INPP4A, PPA1, DDX58, COLCA2, NAMPT, EVPL, MAP2K6, RGCC, QTRT2, ETV6, SGK1"	1.16E-04
BP	GO:0006357	regulation of transcription from RNA polymerase II promoter	"FOSL2, SIM1, WT1, MAFF, MAGED1, CITED2, ELK4, DMTF1, ZNF710, EHF, RFX5, AATF, ETV7, SPI1, STAT3, HOPX, INHBA, ETV3, ETV6, MYB, ETS1, ARID5A, ETV1"	0.501146012
BP	GO:0006469	negative regulation of protein kinase activity	"GADD45B, PPP1R1B, LRRC4C, RTN4RL1, DEPTOR, LRRC66, FLRT3, SOCS1, NYX, CISH, EPHA1"	0.265911369
BP	GO:0006954	inflammatory response	"LOC100521659, CCR7, C5, PTGS1, TLR2, CHI3L1, OLR1, REL, MYD88, TLR10, CXCL9, CCL8, TSPAN2, PXK, THBS1, CCL2, PTGIR, CCL5, CD40, FAS, CCL23, CCL3L1, CXCL10, P2RX7, HRH1, IL20, CXCL11, IL19, CCL4, CXCL2, CCL20, HYAL1, CXCL8"	2.14E-04
BP	GO:0006955	immune response	"CCR7, FYB, SLA-DMB, SLA-7, LOC106504143, SLA-DMA, TNFSF13B, TNFSF9, IL7, LOC100513601, TNFSF15, TRAF6, CTSS, CXCL9, OASL, CCL8, TNFAIP3, THBS1, CCL5, IL15, FAS, CD40, CCL23, BLNK, B2M, SLA-6, CCL3L1, CXCL10, SLA-DRA, SUSD2, IL12A, SLA-DQB1, IL20, CD274, CXCL11, SLA-DQA1, TNFSF10, IL19, CCL4, OAS2, CXCL2, CCL20, OAS1, AIRE, CXCL8, SLA-1"	3.55E-09
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	"NECTIN1, DCHS1, LOC100738826, DSC1, DSG1, FAT2, DSG4, PCDH10, CDHR4, PCDH1"	0.95699063
BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	"TXK, ERBB2, TEC, ROS1, INSR, ABL2, ROR1, DOK1, FYN, JAK3"	0.491304997
BP	GO:0007267	cell-cell signaling	"CCL8, EREG, CCL5, GJA1, SHH, TNFSF18, GREM1, CCL3L1, FJX1, IL7, TNFSF9, ADRA2B, CTGF, CYR61"	0.103758117
BP	GO:0007411	axon guidance	"EFNA4, BMP7, DRAXIN, ZNF280B, NR4A3, FLRT3, SHH, EFNA3, ROBO1, NRP1, ETV1"	0.878140275
BP	GO:0007507	heart development	"BVES, WT1, EDN1, NKX3-1, GJA1, TAB2, ROBO1, EDNRA, FBN1, HOPX, LOC397689, CASP3, LOX"	0.872142932
MF	GO:0008009	chemokine activity	"CCL8, CXCL10, CCL2, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1, CXCL9, CXCL8"	0.004323587
