Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	46	4.299065420560748	1.3508289751752008E-12	ENSSSCG00000017466, ENSSSCG00000016855, ENSSSCG00000001469, ENSSSCG00000024161, ENSSSCG00000004682, ENSSSCG00000001470, ENSSSCG00000009542, ENSSSCG00000022370, ENSSSCG00000006161, ENSSSCG00000001229, ENSSSCG00000020784, ENSSSCG00000013291, ENSSSCG00000006648, ENSSSCG00000023489, ENSSSCG00000009921, ENSSSCG00000017721, ENSSSCG00000004154, ENSSSCG00000004789, ENSSSCG00000017705, ENSSSCG00000009051, ENSSSCG00000010448, ENSSSCG00000007440, ENSSSCG00000017702, ENSSSCG00000010504, ENSSSCG00000004687, ENSSSCG00000001398, ENSSSCG00000017700, ENSSSCG00000008977, ENSSSCG00000001453, ENSSSCG00000025393, ENSSSCG00000011730, ENSSSCG00000001457, ENSSSCG00000015654, ENSSSCG00000005211, ENSSSCG00000008978, ENSSSCG00000001456, ENSSSCG00000020906, ENSSSCG00000015653, ENSSSCG00000017698, ENSSSCG00000009881, ENSSSCG00000008959, ENSSSCG00000016254, ENSSSCG00000009882, ENSSSCG00000025294, ENSSSCG00000008953, ENSSSCG00000001231	758	213	11564	3.2947093289729588	3.5485735461193713E-9	3.5485735461193713E-9	2.396394194192908E-9
KEGG_PATHWAY	ssc05168:Herpes simplex infection	36	3.364485981308411	9.33280170350685E-10	ENSSSCG00000025181, ENSSSCG00000015124, ENSSSCG00000005512, ENSSSCG00000001469, ENSSSCG00000022387, ENSSSCG00000009002, ENSSSCG00000021504, ENSSSCG00000024161, ENSSSCG00000001470, ENSSSCG00000001404, ENSSSCG00000011251, ENSSSCG00000013291, ENSSSCG00000005838, ENSSSCG00000002002, ENSSSCG00000001912, ENSSSCG00000001952, ENSSSCG00000005163, ENSSSCG00000003718, ENSSSCG00000000396, ENSSSCG00000017723, ENSSSCG00000017705, ENSSSCG00000030408, ENSSSCG00000001509, ENSSSCG00000009051, ENSSSCG00000010448, ENSSSCG00000004110, ENSSSCG00000001398, ENSSSCG00000001453, ENSSSCG00000011730, ENSSSCG00000001457, ENSSSCG00000001456, ENSSSCG00000009881, ENSSSCG00000009882, ENSSSCG00000015783, ENSSSCG00000010453, ENSSSCG00000001231	434	182	7030	3.204030992049425	2.3985296215833785E-7	2.3985296215833785E-7	1.2176864183643943E-6
KEGG_PATHWAY	ssc04668:TNF signaling pathway	27	2.5233644859813085	1.000626006111409E-9	ENSSSCG00000001556, ENSSSCG00000016138, ENSSSCG00000024759, ENSSSCG00000001404, ENSSSCG00000026940, ENSSSCG00000005838, ENSSSCG00000006286, ENSSSCG00000001952, ENSSSCG00000003395, ENSSSCG00000016101, ENSSSCG00000006862, ENSSSCG00000001050, ENSSSCG00000004154, ENSSSCG00000017723, ENSSSCG00000017705, ENSSSCG00000009051, ENSSSCG00000010448, ENSSSCG00000004110, ENSSSCG00000017254, ENSSSCG00000008977, ENSSSCG00000013655, ENSSSCG00000026832, ENSSSCG00000008959, ENSSSCG00000016254, ENSSSCG00000014986, ENSSSCG00000015783, ENSSSCG00000001009	434	108	7030	4.049539170506913	2.571608558321614E-7	1.2858043618724224E-7	1.3055552083862665E-6
UP_KEYWORDS	Immunity	25	2.336448598130841	1.5641930225242942E-9	ENSSSCG00000005512, ENSSSCG00000001469, ENSSSCG00000009002, ENSSSCG00000013901, ENSSSCG00000013418, ENSSSCG00000000647, ENSSSCG00000004682, ENSSSCG00000001470, ENSSSCG00000001229, ENSSSCG00000011251, ENSSSCG00000013291, ENSSSCG00000004421, ENSSSCG00000027877, ENSSSCG00000030408, ENSSSCG00000014277, ENSSSCG00000007440, ENSSSCG00000004687, ENSSSCG00000001453, ENSSSCG00000024867, ENSSSCG00000012077, ENSSSCG00000001457, ENSSSCG00000001456, ENSSSCG00000008648, ENSSSCG00000009882, ENSSSCG00000001231	1002	93	16059	4.308318846178611	4.2546040512903005E-7	4.2546040512903005E-7	2.058980064223448E-6
UP_KEYWORDS	Disulfide bond	121	11.30841121495327	3.3910697403093937E-9	ENSSSCG00000015403, ENSSSCG00000000606, ENSSSCG00000005593, ENSSSCG00000024671, ENSSSCG00000029852, ENSSSCG00000021504, ENSSSCG00000007501, ENSSSCG00000004682, ENSSSCG00000007145, ENSSSCG00000007045, ENSSSCG00000017721, ENSSSCG00000004789, ENSSSCG00000017723, ENSSSCG00000010448, ENSSSCG00000005699, ENSSSCG00000001398, ENSSSCG00000004687, ENSSSCG00000008977, ENSSSCG00000012277, ENSSSCG00000001453, ENSSSCG00000000261, ENSSSCG00000029395, ENSSSCG00000014988, ENSSSCG00000012482, ENSSSCG00000001457, ENSSSCG00000008978, ENSSSCG00000017698, ENSSSCG00000001456, ENSSSCG00000005723, ENSSSCG00000014985, ENSSSCG00000014986, ENSSSCG00000002444, ENSSSCG00000014987, ENSSSCG00000011877, ENSSSCG00000021902, ENSSSCG00000005512, ENSSSCG00000013286, ENSSSCG00000009002, ENSSSCG00000004475, ENSSSCG00000004658, ENSSSCG00000002555, ENSSSCG00000001422, ENSSSCG00000001229, ENSSSCG00000003811, ENSSSCG00000027777, ENSSSCG00000009679, ENSSSCG00000014232, ENSSSCG00000009132, ENSSSCG00000011496, ENSSSCG00000005506, ENSSSCG00000004663, ENSSSCG00000008340, ENSSSCG00000025393, ENSSSCG00000011400, ENSSSCG00000005211, ENSSSCG00000016018, ENSSSCG00000011899, ENSSSCG00000011404, ENSSSCG00000001231, ENSSSCG00000015124, ENSSSCG00000010272, ENSSSCG00000017084, ENSSSCG00000013313, ENSSSCG00000015476, ENSSSCG00000013418, ENSSSCG00000000647, ENSSSCG00000024161, ENSSSCG00000000155, ENSSSCG00000003079, ENSSSCG00000001404, ENSSSCG00000000843, ENSSSCG00000006161, ENSSSCG00000009565, ENSSSCG00000008925, ENSSSCG00000023489, ENSSSCG00000010704, ENSSSCG00000009051, ENSSSCG00000030900, ENSSSCG00000023693, ENSSSCG00000006359, ENSSSCG00000011730, ENSSSCG00000011195, ENSSSCG00000029587, ENSSSCG00000005455, ENSSSCG00000002806, ENSSSCG00000011102, ENSSSCG00000014167, ENSSSCG00000021059, ENSSSCG00000001469, ENSSSCG00000002385, ENSSSCG00000013564, ENSSSCG00000022246, ENSSSCG00000004241, ENSSSCG00000004755, ENSSSCG00000013901, ENSSSCG00000000442, ENSSSCG00000021865, ENSSSCG00000016140, ENSSSCG00000001470, ENSSSCG00000021105, ENSSSCG00000017472, ENSSSCG00000006286, ENSSSCG00000006287, ENSSSCG00000027877, ENSSSCG00000005163, ENSSSCG00000015398, ENSSSCG00000006940, ENSSSCG00000015399, ENSSSCG00000007067, ENSSSCG00000015119, ENSSSCG00000001050, ENSSSCG00000007440, ENSSSCG00000005608, ENSSSCG00000009031, ENSSSCG00000006681, ENSSSCG00000008959, ENSSSCG00000029658, ENSSSCG00000015886, ENSSSCG00000010312, ENSSSCG00000004192, ENSSSCG00000008953	1002	1129	16059	1.717679786573885	9.223705504934898E-7	4.611853815505995E-7	4.4637362361932276E-6
UP_KEYWORDS	Signal	211	19.7196261682243	3.647534631360347E-9	ENSSSCG00000009490, ENSSSCG00000028525, ENSSSCG00000003777, ENSSSCG00000005593, ENSSSCG00000024671, ENSSSCG00000008832, ENSSSCG00000006531, ENSSSCG00000003140, ENSSSCG00000021504, ENSSSCG00000016877, ENSSSCG00000011298, ENSSSCG00000007501, ENSSSCG00000007145, ENSSSCG00000027797, ENSSSCG00000007045, ENSSSCG00000006862, ENSSSCG00000017721, ENSSSCG00000022218, ENSSSCG00000017723, ENSSSCG00000001507, ENSSSCG00000004808, ENSSSCG00000001398, ENSSSCG00000009709, ENSSSCG00000000261, ENSSSCG00000029395, ENSSSCG00000014988, ENSSSCG00000014985, ENSSSCG00000006858, ENSSSCG00000014986, ENSSSCG00000016746, ENSSSCG00000014987, ENSSSCG00000011877, ENSSSCG00000021902, ENSSSCG00000013286, ENSSSCG00000006348, ENSSSCG00000008491, ENSSSCG00000006350, ENSSSCG00000003155, ENSSSCG00000000656, ENSSSCG00000000293, ENSSSCG00000001229, ENSSSCG00000006648, ENSSSCG00000017356, ENSSSCG00000014232, ENSSSCG00000003471, ENSSSCG00000024666, ENSSSCG00000011496, ENSSSCG00000008340, ENSSSCG00000007816, ENSSSCG00000006532, ENSSSCG00000011895, ENSSSCG00000011899, ENSSSCG00000000662, ENSSSCG00000001231, ENSSSCG00000023796, ENSSSCG00000012038, ENSSSCG00000016832, ENSSSCG00000013313, ENSSSCG00000015476, ENSSSCG00000013418, ENSSSCG00000003079, ENSSSCG00000016053, ENSSSCG00000007401, ENSSSCG00000006161, ENSSSCG00000016459, ENSSSCG00000008741, ENSSSCG00000023489, ENSSSCG00000015068, ENSSSCG00000017630, ENSSSCG00000017823, ENSSSCG00000010704, ENSSSCG00000013181, ENSSSCG00000015085, ENSSSCG00000011730, ENSSSCG00000006172, ENSSSCG00000011195, ENSSSCG00000020694, ENSSSCG00000029587, ENSSSCG00000005455, ENSSSCG00000002806, ENSSSCG00000030575, ENSSSCG00000001469, ENSSSCG00000029189, ENSSSCG00000022246, ENSSSCG00000003065, ENSSSCG00000021865, ENSSSCG00000016140, ENSSSCG00000001470, ENSSSCG00000014812, ENSSSCG00000021105, ENSSSCG00000006286, ENSSSCG00000006287, ENSSSCG00000027877, ENSSSCG00000011700, ENSSSCG00000005163, ENSSSCG00000006940, ENSSSCG00000004825, ENSSSCG00000003192, ENSSSCG00000001050, ENSSSCG00000017705, ENSSSCG00000007440, ENSSSCG00000021576, ENSSSCG00000017702, ENSSSCG00000017700, ENSSSCG00000026724, ENSSSCG00000023627, ENSSSCG00000006197, ENSSSCG00000003423, ENSSSCG00000010318, ENSSSCG00000017502, ENSSSCG00000006932, ENSSSCG00000016254, ENSSSCG00000004192, ENSSSCG00000010312, ENSSSCG00000011850, ENSSSCG00000000605, ENSSSCG00000011014, ENSSSCG00000000606, ENSSSCG00000005533, ENSSSCG00000004458, ENSSSCG00000000704, ENSSSCG00000027331, ENSSSCG00000004682, ENSSSCG00000023749, ENSSSCG00000005838, ENSSSCG00000004789, ENSSSCG00000010448, ENSSSCG00000008980, ENSSSCG00000004687, ENSSSCG00000012277, ENSSSCG00000008977, ENSSSCG00000001453, ENSSSCG00000013655, ENSSSCG00000012482, ENSSSCG00000001457, ENSSSCG00000008978, ENSSSCG00000017698, ENSSSCG00000001456, ENSSSCG00000026832, ENSSSCG00000002444, ENSSSCG00000026647, ENSSSCG00000015041, ENSSSCG00000001726, ENSSSCG00000022089, ENSSSCG00000005512, ENSSSCG00000009002, ENSSSCG00000004658, ENSSSCG00000028875, ENSSSCG00000002555, ENSSSCG00000001422, ENSSSCG00000013042, ENSSSCG00000004485, ENSSSCG00000009679, ENSSSCG00000027494, ENSSSCG00000022289, ENSSSCG00000008155, ENSSSCG00000007387, ENSSSCG00000005506, ENSSSCG00000016416, ENSSSCG00000004663, ENSSSCG00000004662, ENSSSCG00000025393, ENSSSCG00000005211, ENSSSCG00000016018, ENSSSCG00000011404, ENSSSCG00000006736, ENSSSCG00000015124, ENSSSCG00000010276, ENSSSCG00000028813, ENSSSCG00000010272, ENSSSCG00000007079, ENSSSCG00000017087, ENSSSCG00000017084, ENSSSCG00000011928, ENSSSCG00000007073, ENSSSCG00000024161, ENSSSCG00000014089, ENSSSCG00000009565, ENSSSCG00000000015, ENSSSCG00000013894, ENSSSCG00000009051, ENSSSCG00000010383, ENSSSCG00000030900, ENSSSCG00000023693, ENSSSCG00000006359, ENSSSCG00000015654, ENSSSCG00000003726, ENSSSCG00000015653, ENSSSCG00000011102, ENSSSCG00000017466, ENSSSCG00000000544, ENSSSCG00000002385, ENSSSCG00000015322, ENSSSCG00000004755, ENSSSCG00000020740, ENSSSCG00000013901, ENSSSCG00000000442, ENSSSCG00000011391, ENSSSCG00000017062, ENSSSCG00000008562, ENSSSCG00000014171, ENSSSCG00000015525, ENSSSCG00000017472, ENSSSCG00000005899, ENSSSCG00000007067, ENSSSCG00000002376, ENSSSCG00000009031, ENSSSCG00000005608, ENSSSCG00000008959, ENSSSCG00000015886, ENSSSCG00000008953	1002	2314	16059	1.461402605333844	9.921289229053443E-7	3.3070975036242345E-7	4.80132629210317E-6
KEGG_PATHWAY	ssc05164:Influenza A	33	3.08411214953271	5.544586381942156E-9	ENSSSCG00000025181, ENSSSCG00000001469, ENSSSCG00000001556, ENSSSCG00000021504, ENSSSCG00000026082, ENSSSCG00000001470, ENSSSCG00000006543, ENSSSCG00000001404, ENSSSCG00000011251, ENSSSCG00000002002, ENSSSCG00000001912, ENSSSCG00000001952, ENSSSCG00000005163, ENSSSCG00000003395, ENSSSCG00000028711, ENSSSCG00000000396, ENSSSCG00000017723, ENSSSCG00000017705, ENSSSCG00000030408, ENSSSCG00000010448, ENSSSCG00000008977, ENSSSCG00000017254, ENSSSCG00000013655, ENSSSCG00000001453, ENSSSCG00000012077, ENSSSCG00000011730, ENSSSCG00000001457, ENSSSCG00000001456, ENSSSCG00000020906, ENSSSCG00000008648, ENSSSCG00000009881, ENSSSCG00000009882, ENSSSCG00000008953	434	167	7030	3.2008333563288174	1.42495767951889E-6	4.7498611877028196E-7	7.234234555841823E-6
KEGG_PATHWAY	ssc05323:Rheumatoid arthritis	23	2.149532710280374	5.9330122446591585E-9	ENSSSCG00000002385, ENSSSCG00000001469, ENSSSCG00000017723, ENSSSCG00000017705, ENSSSCG00000009051, ENSSSCG00000009002, ENSSSCG00000017700, ENSSSCG00000013655, ENSSSCG00000001453, ENSSSCG00000001404, ENSSSCG00000001470, ENSSSCG00000009542, ENSSSCG00000001457, ENSSSCG00000026832, ENSSSCG00000001456, ENSSSCG00000014985, ENSSSCG00000011899, ENSSSCG00000016254, ENSSSCG00000008314, ENSSSCG00000014986, ENSSSCG00000011877, ENSSSCG00000012890, ENSSSCG00000008953	434	86	7030	4.3320651591469295	1.5247829755482556E-6	3.8119596190711036E-7	7.741028640317893E-6
KEGG_PATHWAY	ssc04620:Toll-like receptor signaling pathway	24	2.2429906542056073	2.9383981574422772E-8	ENSSSCG00000017705, ENSSSCG00000007440, ENSSSCG00000009002, ENSSSCG00000004110, ENSSSCG00000001556, ENSSSCG00000017700, ENSSSCG00000021504, ENSSSCG00000008977, ENSSSCG00000017254, ENSSSCG00000001404, ENSSSCG00000011730, ENSSSCG00000008978, ENSSSCG00000017698, ENSSSCG00000011251, ENSSSCG00000013291, ENSSSCG00000011899, ENSSSCG00000014216, ENSSSCG00000001009, ENSSSCG00000023489, ENSSSCG00000011877, ENSSSCG00000005163, ENSSSCG00000001952, ENSSSCG00000003395, ENSSSCG00000008953	434	101	7030	3.8490669343432042	7.551654863435786E-6	1.510335534860019E-6	3.8338402730264676E-5
KEGG_PATHWAY	ssc04060:Cytokine-cytokine receptor interaction	37	3.4579439252336446	5.3427633420105776E-8	ENSSSCG00000017466, ENSSSCG00000015403, ENSSSCG00000002385, ENSSSCG00000016832, ENSSSCG00000016851, ENSSSCG00000008162, ENSSSCG00000021504, ENSSSCG00000024759, ENSSSCG00000007501, ENSSSCG00000001404, ENSSSCG00000009542, ENSSSCG00000022370, ENSSSCG00000006161, ENSSSCG00000020784, ENSSSCG00000023489, ENSSSCG00000005163, ENSSSCG00000017721, ENSSSCG00000015085, ENSSSCG00000017723, ENSSSCG00000017705, ENSSSCG00000013894, ENSSSCG00000015487, ENSSSCG00000009051, ENSSSCG00000010448, ENSSSCG00000007440, ENSSSCG00000021206, ENSSSCG00000017700, ENSSSCG00000008977, ENSSSCG00000007816, ENSSSCG00000011730, ENSSSCG00000008978, ENSSSCG00000016322, ENSSSCG00000026832, ENSSSCG00000020906, ENSSSCG00000017698, ENSSSCG00000016254, ENSSSCG00000008953	434	221	7030	2.7119085847738598	1.3730807889578145E-5	2.2884810744194795E-6	6.970906325509674E-5
