ID,logFC,AveExpr,t,P.Value,adj.P.Value,B,label
RSAD2,11.48169823,29971.96162,12.86494238,7.08948E-38,3.42909E-36,30,yes
IFNB1,10.33778954,1172.051824,15.53354929,2.05674E-54,1.39926E-52,30,yes
CXCL10,10.04195999,15871.46678,12.32581844,6.57723E-35,2.99243E-33,30,yes
CXCL11,10.03208214,13200.36678,8.867875276,7.45548E-19,2.11895E-17,30,yes
NEURL3,10.01617817,1875.045174,21.08952443,9.9254E-99,1.16536E-96,30,yes
MX2,9.105242642,27540.92682,63.65486936,0,0,30,yes
ENSSSCG00000032436,9.084418901,984.2181969,18.83028456,4.26463E-79,3.92967E-77,30,yes
VCAM1,8.97199228,1441.333306,23.10398969,4.2216E-118,6.1462E-116,30,yes
CCL2,8.966531794,4426.822227,22.83417355,2.0993E-115,2.9964E-113,30,yes
ASS1,8.602043522,527.413431,15.35259545,3.40295E-53,2.26226E-51,30,yes
ENPEP,8.384859125,608.3299611,17.0006649,8.11938E-65,6.42446E-63,30,yes
HMCN2,8.307719776,143.6387127,8.599829494,7.98346E-18,2.1807E-16,30,yes
DDX58,8.154065639,34128.10435,54.8958269,0,0,30,yes
TRIM5,7.659893183,9187.301945,53.80296752,0,0,30,yes
GNG11,7.643658477,304.1394144,13.93627874,3.81309E-44,2.0949E-42,30,yes
ENSSSCG00000033909,7.637317133,660.6984133,20.33648325,6.1162E-92,6.84968E-90,30,yes
UBA7,7.54356325,226.057271,12.37846667,3.41811E-35,1.56491E-33,30,yes
SERPING1,7.535968081,392.0902758,15.88033584,8.67129E-57,6.09881E-55,30,yes
HLA-DRA,7.46748783,374.2338322,15.99145459,1.46568E-57,1.03587E-55,30,yes
C1R,7.397064971,1429.493828,28.53866271,3.8838E-179,8.4395E-177,30,yes
FBXO39,7.369732021,2179.797556,35.02304302,1.0034E-268,4.7126E-266,30,yes
IZUMO1R,7.367316743,348.9080437,15.55809103,1.40219E-54,9.62947E-53,30,yes
SLC2A6,7.345188441,1037.028287,25.21203379,2.9562E-140,5.5179E-138,30,yes
ENSSSCG00000030801,7.279507014,567.3489539,19.91968102,2.74735E-88,2.94108E-86,30,yes
IRF8,7.214525467,90.23946814,8.305906899,9.90599E-17,2.58925E-15,30,yes
USP18,7.182277677,2221.124704,35.65787351,1.7792E-278,8.932E-276,30,yes
IL29,7.158048978,130.4839383,10.03235195,1.09868E-23,3.74606E-22,30,yes
IFIT2,6.819362058,53811.78192,54.29880312,0,0,30,yes
IFI6,6.795514261,5498.870367,47.07527245,0,0,30,yes
TNFSF13B,6.794525602,1500.775614,30.98535719,8.4903E-211,2.3771E-208,30,yes
CSF1,6.768045151,2258.677386,31.92633967,1.1511E-223,4.5293E-221,30,yes
ENSSSCG00000006932,6.613736218,74.41231481,8.213047148,2.15645E-16,5.54695E-15,30,yes
CCL5,6.588918046,10618.9554,53.42698361,0,0,30,yes
IFIT1,6.574645539,82499.74224,51.18640931,0,0,30,yes
DHX58,6.56986246,2487.358679,38.25237448,0,0,30,yes
RND1,6.558460039,2064.531222,33.87365634,1.6279E-251,6.9706E-249,30,yes
PDGFRL,6.467309885,841.0895765,25.32947948,1.5127E-141,2.8602E-139,30,yes
CD74,6.378877623,1920.190429,31.81222,4.3868E-222,1.5577E-219,30,yes
SLA-DQB1,6.249939342,243.3871669,15.19816358,3.63674E-52,2.38501E-50,30,yes
SCARB2,6.050710329,791.7386136,26.02026918,2.9207E-149,5.6697E-147,30,yes
MX1,5.981635496,10664.13132,45.24277791,0,0,30,yes
ZBP1,5.966373944,1370.159351,31.84583917,1.503E-222,5.6109E-220,30,yes
ENSSSCG00000024973,5.907274886,17438.21809,49.45113778,0,0,30,yes
IL4I1,5.802235778,388.5198413,18.45463723,4.78568E-76,4.27452E-74,30,yes
ARHGEF6,5.709561608,278.5711034,16.1150999,1.99841E-58,1.41926E-56,30,yes
IDO1,5.669190245,11977.25738,42.65572812,0,0,30,yes
