Category,ID,adj_pval,Count,zscore,label
BP,GO:0006955,3.55E-09,46,6.192562159,yes
KEGG,KEGG:ssc04668,1.29E-07,27,4.811252243,yes
KEGG,KEGG:ssc05168,2.40E-07,36,5.666666667,no
KEYWORDS,KEY016,3.31E-07,211,4.337098862,no
KEGG,KEGG:ssc05323,3.81E-07,23,4.378802695,no
KEYWORDS,KEY011,4.25E-07,25,3.8,yes
KEYWORDS,KEY007,4.61E-07,121,4.636363636,no
KEGG,KEGG:ssc05164,4.75E-07,33,5.396407335,no
KEGG,KEGG:ssc04620,1.51E-06,24,4.490731195,yes
KEGG,KEGG:ssc04060,2.29E-06,37,5.096368606,yes
KEGG,KEGG:ssc05330,5.15E-06,14,3.741657387,no
KEGG,KEGG:ssc05162,9.82E-06,26,4.314554973,no
KEGG,KEGG:ssc05145,1.01E-05,24,4.490731195,no
KEGG,KEGG:ssc05416,1.65E-05,17,3.152963125,no
KEGG,KEGG:ssc04064,3.22E-05,20,4.024922359,yes
KEGG,KEGG:ssc05332,7.17E-05,12,3.464101615,no
KEGG,KEGG:ssc04940,7.77E-05,13,3.605551275,no
CC,GO:0009897,9.46E-05,26,3.922322703,no
KEGG,KEGG:ssc04514,1.02E-04,25,3.4,no
CC,GO:0005737,1.16E-04,195,5.80053048,no
KEGG,KEGG:ssc04612,1.37E-04,16,4,no
KEGG,KEGG:ssc05166,1.42E-04,35,3.887709572,no
CC,GO:0005615,1.58E-04,85,4.447074385,no
BP,GO:0006954,2.14E-04,33,4.700096711,no
KEGG,KEGG:ssc05140,2.62E-04,15,3.872983346,no
KEGG,KEGG:ssc05152,2.84E-04,27,5.196152423,no
KEGG,KEGG:ssc05160,3.68E-04,22,4.69041576,no
KEGG,KEGG:ssc05320,4.67E-04,13,3.605551275,no
BP,GO:0045071,4.68E-04,11,3.31662479,no
BP,GO:0042127,5.87E-04,26,3.922322703,no
KEGG,KEGG:ssc05144,6.44E-04,13,3.605551275,no
KEGG,KEGG:ssc04380,6.75E-04,22,2.558408596,no
KEGG,KEGG:ssc05133,0.001320043,15,3.872983346,no
KEYWORDS,KEY003,0.001536631,12,3.464101615,no
KEGG,KEGG:ssc04672,0.002212146,11,2.713602101,no
CC,GO:0070062,0.00221848,151,1.220682688,no
INTERPRO,IPR003597,0.002244931,13,3.605551275,no
KEGG,KEGG:ssc04622,0.002279002,14,3.741657387,no
KEYWORDS,KEY004,0.002356603,22,4.69041576,no
KEGG,KEGG:ssc05142,0.002559517,18,4.242640687,no
KEYWORDS,KEY012,0.00263401,11,2.713602101,no
KEGG,KEGG:ssc05321,0.002669649,13,3.605551275,no
SMART,SM00407,0.002960179,13,3.605551275,no
KEGG,KEGG:ssc04062,0.003289609,24,3.674234614,no
BP,GO:0071356,0.003367887,14,3.207134903,no
INTERPRO,IPR003006,0.003398843,12,3.464101615,no
KEGG,KEGG:ssc05150,0.003430881,11,2.110579412,no
KEGG,KEGG:ssc05202,0.003892666,22,3.837612894,no
MF,GO:0008009,0.004323587,12,3.464101615,no
SMART,SM00199,0.006600613,12,3.464101615,no
BP,GO:0032496,0.007078725,17,4.123105626,no
BP,GO:0043491,0.007232018,10,2.529822128,no
KEGG,KEGG:ssc04630,0.007369176,20,4.024922359,no
BP,GO:0070098,0.00771995,12,3.464101615,no
BP,GO:0071347,0.009193972,11,2.713602101,no
KEGG,KEGG:ssc05169,0.009321783,24,3.674234614,no
KEGG,KEGG:ssc05205,0.010433992,24,3.265986324,no
INTERPRO,IPR001811,0.01265884,12,3.464101615,no
BP,GO:0030154,0.015075729,21,1.963961012,no
BP,GO:0051607,0.015533608,21,4.146139914,no
KEGG,KEGG:ssc05161,0.016570522,20,4.472135955,no
