From	To	Species	Gene Name
ENSSSCG00000009211	101154685	Sus scrofa	PIGY upstream reading frame(PYURF)
ENSSSCG00000028282	100518245	Sus scrofa	neutral amino acid transporter A-like(LOC100518245)
ENSSSCG00000017343	396562	Sus scrofa	glial fibrillary acidic protein(GFAP)
ENSSSCG00000002780	100521665	Sus scrofa	tubulin polymerization promoting protein family member 3(TPPP3)
ENSSSCG00000021361	100152649	Sus scrofa	zinc finger protein 710(ZNF710)
ENSSSCG00000011465	100157651	Sus scrofa	phosphodiesterase 12(PDE12)
ENSSSCG00000017877	100522641	Sus scrofa	ankyrin repeat and FYVE domain containing 1(ANKFY1)
ENSSSCG00000009613	100157264	Sus scrofa	dematin actin binding protein(DMTN)
ENSSSCG00000017880	100523208	Sus scrofa	sphingolipid transporter 3 (putative)(SPNS3)
ENSSSCG00000004507	100521305	Sus scrofa	SMAD family member 7(SMAD7)
ENSSSCG00000000774	396777	Sus scrofa	ubiquitin specific peptidase 18(USP18)
ENSSSCG00000027557	100626260	Sus scrofa	cell division cycle 14B(CDC14B)
ENSSSCG00000027797	100517092	Sus scrofa	carboxypeptidase M(CPM)
ENSSSCG00000007045	397154	Sus scrofa	chromogranin B(CHGB)
ENSSSCG00000011664	100156666	Sus scrofa	retinol binding protein 1(RBP1)
ENSSSCG00000011474	100515860	Sus scrofa	PX domain containing serine/threonine kinase like(PXK)
ENSSSCG00000024594	100625162	Sus scrofa	NK3 homeobox 2(NKX3-2)
ENSSSCG00000022218	100738826	Sus scrofa	protocadherin alpha-6(LOC100738826)
ENSSSCG00000024596	100513746	Sus scrofa	nocturnin(NOCT)
ENSSSCG00000027550	100627099	Sus scrofa	phospholipase C delta 1(PLCD1)
ENSSSCG00000000784	780403	Sus scrofa	leucine rich repeat kinase 2(LRRK2)
ENSSSCG00000022011	100621233	Sus scrofa	N-myc and STAT interactor(NMI)
ENSSSCG00000014672	100622028	Sus scrofa	tripartite motif-containing protein 6(LOC100622028)
ENSSSCG00000000521	100523904	Sus scrofa	pleckstrin homology like domain family A member 1(PHLDA1)
ENSSSCG00000007836	100522244	Sus scrofa	sodium channel epithelial 1 gamma subunit(SCNN1G)
ENSSSCG00000016746	100515982	Sus scrofa	NPC1 like intracellular cholesterol transporter 1(NPC1L1)
ENSSSCG00000001252	100294688	Sus scrofa	ubiquitin D(UBD)
ENSSSCG00000021173	100622289	Sus scrofa	B-box and SPRY domain containing(BSPRY)
ENSSSCG00000017325	100523462	Sus scrofa	pleckstrin homology and RUN domain containing M1(PLEKHM1)
ENSSSCG00000016742	100512998	Sus scrofa	myosin IG(MYO1G)
